r,theta_over_pi,theta,n,symmetric,max_abs_imag,method,matvecs,converged,diverged,residual,speedup,predicted_speedup,mu_subdominant,mu_dominant,theory_diverges,beta,backtracks
0.9,0.4,1.2566370614359172,81,False,0.8559508646656382,dynamic_safe,595,True,False,9.331188434160586e-13,0.4504201680672269,4.433779629746542,1.0674105803857592,0.7179449471770336,True,0.2025,10
0.9,0.5,1.5707963267948966,81,False,0.9,power,270,True,False,9.34522413907593e-13,1.0,4.433779629746542,1.0863961030678928,0.7179449471770336,True,0.2025,0
0.9,0.5,1.5707963267948966,81,False,0.9,static,1002,False,True,0.8999999999999999,,4.433779629746542,1.0863961030678928,0.7179449471770336,True,0.2025,0
0.9,0.5,1.5707963267948966,81,False,0.9,dynamic,1003,False,True,0.8383430562289359,,4.433779629746542,1.0863961030678928,0.7179449471770336,True,0.2025,0
0.9,0.5,1.5707963267948966,81,False,0.9,dynamic_safe,592,True,False,9.649335542665441e-13,0.4560810810810811,4.433779629746542,1.0863961030678928,0.7179449471770336,True,0.2025,10
0.95,0.0,0.0,81,True,0.0,power,489,True,False,9.51928617680676e-13,1.0,6.297829826079716,0.47500000000000003,0.65612494995996,False,0.225625,0
0.95,0.0,0.0,81,True,0.0,static,91,True,False,8.533307807114458e-13,5.373626373626373,6.297829826079716,0.47500000000000003,0.65612494995996,False,0.225625,0
0.95,0.0,0.0,81,True,0.0,dynamic,92,True,False,7.937270110796481e-13,5.315217391304348,6.297829826079716,0.47500000000000003,0.65612494995996,False,0.225625,0
0.95,0.0,0.0,81,True,0.0,dynamic_safe,96,True,False,8.445790086785711e-13,5.09375,6.297829826079716,0.47500000000000003,0.65612494995996,False,0.225625,0
0.95,0.02,0.06283185307179587,81,False,0.059650993552847704,power,497,True,False,9.984722255906513e-13,1.0,6.297829826079716,0.6087114003058719,0.65612494995996,False,0.225625,0
0.95,0.02,0.06283185307179587,81,False,0.059650993552847704,static,339,True,False,9.392468220006193e-13,1.4660766961651917,6.297829826079716,0.6087114003058719,0.65612494995996,False,0.225625,0
0.95,0.02,0.06283185307179587,81,False,0.059650993552847704,dynamic,1023,False,True,0.042712001199284914,,6.297829826079716,0.6087114003058719,0.65612494995996,False,0.225625,0
0.95,0.02,0.06283185307179587,81,False,0.059650993552847704,dynamic_safe,337,True,False,9.493712298590507e-13,1.4747774480712166,6.297829826079716,0.6087114003058719,0.65612494995996,False,0.225625,0
0.95,0.05,0.15707963267948966,81,False,0.14861274178821932,power,511,True,False,9.911463281012209e-13,1.0,6.297829826079716,0.6986748400125621,0.65612494995996,True,0.225625,0
0.95,0.05,0.15707963267948966,81,False,0.14861274178821932,static,1015,False,True,0.14861274178821934,,6.297829826079716,0.6986748400125621,0.65612494995996,True,0.225625,0
0.95,0.05,0.15707963267948966,81,False,0.14861274178821932,dynamic,1013,False,True,0.1486127417882193,,6.297829826079716,0.6986748400125621,0.65612494995996,True,0.225625,0
0.95,0.05,0.15707963267948966,81,False,0.14861274178821932,dynamic_safe,633,True,False,9.638166202711188e-13,0.8072669826224329,6.297829826079716,0.6986748400125621,0.65612494995996,True,0.225625,10
0.95,0.1,0.3141592653589793,81,False,0.2935661446562,power,524,True,False,9.77114518387145e-13,1.0,6.297829826079716,0.8075074935462251,0.65612494995996,True,0.225625,0
0.95,0.1,0.3141592653589793,81,False,0.2935661446562,static,1008,False,True,0.29356614465620007,,6.297829826079716,0.8075074935462251,0.65612494995996,True,0.225625,0
0.95,0.1,0.3141592653589793,81,False,0.2935661446562,dynamic,1007,False,True,0.29356614465620007,,6.297829826079716,0.8075074935462251,0.65612494995996,True,0.225625,0
0.95,0.1,0.3141592653589793,81,False,0.2935661446562,dynamic_safe,788,True,False,9.828721641074907e-13,0.6649746192893401,6.297829826079716,0.8075074935462251,0.65612494995996,True,0.225625,10
0.95,0.15,0.47123889803846897,81,False,0.43129097475256944,power,532,True,False,9.603558863876868e-13,1.0,6.297829826079716,0.8928116413723535,0.65612494995996,True,0.225625,0
0.95,0.15,0.47123889803846897,81,False,0.43129097475256944,static,1002,False,True,0.4312909747525695,,6.297829826079716,0.8928116413723535,0.65612494995996,True,0.225625,0
0.95,0.15,0.47123889803846897,81,False,0.43129097475256944,dynamic,1003,False,True,0.4312909747525694,,6.297829826079716,0.8928116413723535,0.65612494995996,True,0.225625,0
0.95,0.15,0.47123889803846897,81,False,0.43129097475256944,dynamic_safe,868,True,False,9.76632628451863e-13,0.6129032258064516,6.297829826079716,0.8928116413723535,0.65612494995996,True,0.225625,10
0.95,0.2,0.6283185307179586,81,False,0.5583959896778494,power,537,True,False,9.811434630157398e-13,1.0,6.297829826079716,0.9627038997022644,0.65612494995996,True,0.225625,0
0.95,0.2,0.6283185307179586,81,False,0.5583959896778494,static,1002,False,True,0.5583959896778494,,6.297829826079716,0.9627038997022644,0.65612494995996,True,0.225625,0
0.95,0.2,0.6283185307179586,81,False,0.5583959896778494,dynamic,1003,False,True,0.5583959896778494,,6.297829826079716,0.9627038997022644,0.65612494995996,True,0.225625,0
