graph,n,d,method,matvecs,iterations,time_s,converged,diverged,residual,speedup,predicted_speedup,theoretical_rate,observed_rate,l1_agreement,safeguard_hits,backtracks,beta_opt,beta_final
wiki-Vote,7115,0.95,dynamic_paper,1016,1015,0.08811512496322393,False,True,0.1540960196446799,,6.297829826079716,0.7239474737685053,0.997287364733961,0.07149984957339532,0,0,0.225625,0.23637192841431606
wiki-Vote,7115,0.95,dynamic_safe,249,248,0.021717916009947658,True,False,9.842006679171042e-13,0.18473895582329317,6.297829826079716,0.7239474737685053,0.915720668628745,7.012551889000462e-13,0,0,0.225625,0.22562500000000374
wiki-Vote,7115,0.95,dynamic_guard,42,38,0.0038359169848263264,True,False,5.559004589172529e-13,1.0952380952380953,6.297829826079716,0.7239474737685053,0.4690739136144664,4.5362198968900563e-13,0,1,0.225625,0.06674991887309056
wiki-Vote,7115,0.99,power,49,48,0.004262334201484919,True,False,8.2426887173741e-13,1.0,14.130317913366113,0.99,0.5776941188261203,3.5772573054801415e-16,0,0,0.245025,0.0
wiki-Vote,7115,0.99,static_d,1003,1002,0.08616658300161362,False,True,0.2506970175623029,,14.130317913366113,0.8676087274781222,0.999940020553121,1.4320859048916867,0,0,0.245025,0.245025
wiki-Vote,7115,0.99,dynamic_paper,1016,1015,0.08711441606283188,False,True,0.17749437914993493,,14.130317913366113,0.8676087274781222,1.0039475929913668,0.08948947061078355,0,0,0.245025,0.2361969070468094
wiki-Vote,7115,0.99,dynamic_safe,56,52,0.004750624997541308,True,False,8.650907810202008e-13,0.875,14.130317913366113,0.8676087274781222,0.5821098915160978,6.97223162993317e-13,0,1,0.245025,0.09763315610556894
wiki-Vote,7115,0.99,dynamic_guard,45,41,0.004086375003680587,True,False,7.679434313334342e-13,1.0888888888888888,14.130317913366113,0.8676087274781222,0.49610509273862813,6.462695301330014e-13,0,1,0.245025,0.08116417302182827
wiki-Vote,7115,0.999,power,50,49,0.004318834049627185,True,False,7.453541118798494e-13,1.0,44.717631744576906,0.999,0.5831617536802394,2.080583968999683e-16,0,0,0.24950025,0.0
wiki-Vote,7115,0.999,static_d,1003,1002,0.08585525001399219,False,True,0.25271907694148277,,44.717631744576906,0.95624606825604,0.9999365816363034,1.428698530739596,0,0,0.24950025,0.24950025
wiki-Vote,7115,0.999,dynamic_paper,1016,1015,0.0901373338419944,False,True,0.178292659208046,,44.717631744576906,0.95624606825604,1.0032317533817587,0.09144065465398196,0,0,0.24950025,0.23590650026428453
wiki-Vote,7115,0.999,dynamic_safe,56,52,0.00637954194098711,True,False,6.009208557427732e-13,0.8928571428571429,44.717631744576906,0.95624606825604,0.5683579301392169,5.491767861320364e-13,0,1,0.24950025,0.0994163732807942
wiki-Vote,7115,0.999,dynamic_guard,46,42,0.005100250011309981,True,False,7.905878782714718e-13,1.0869565217391304,44.717631744576906,0.95624606825604,0.5024267193913315,6.151502579348177e-13,0,1,0.24950025,0.08262450875466457
